Data_Requirement,FSDM_Subject_Area,FSDM_Entity,FSDM_Entity_Description,Entity_In_XSD,FSDM_Domain,Mapping_Confidence,Notes
Customer Demographics,Party,PARTY_CLASSIFICATION,,No,Not Found,High,Individual/demographic attributes
Customer Demographics,Party,PARTY_PREFERENCE,,No,Not Found,High,Individual/demographic attributes
Customer Attitudinal Data,Party,PARTY_PREFERENCE,,No,Not Found,Medium,Attitudinal/behavioral data - partial FSDM coverage
Customer Attitudinal Data,Party,PARTY_CLASSIFICATION,,No,Not Found,Medium,Attitudinal/behavioral data - partial FSDM coverage
Customer Attitudinal Data,Party,PARTY_SURVEY_RESPONSE,This subtype entity identifies the party that is the subject of this survey question.,Yes,Party Management,Medium,Attitudinal/behavioral data - partial FSDM coverage
Customer Segments,Party,PARTY_CLASSIFICATION,,No,Not Found,High,Customer segmentation classifications
Customer Segments,Party,PARTY_SEGMENT,"An associative entity that maps a party into a market segment. A party can be a member of multiple market segments, and vice versa.",Yes,Party Management,High,Customer segmentation classifications
Customer Segments,Party,PARTY_CLASSIFICATION_VALUE,,No,Not Found,High,Customer segmentation classifications
Customer Contact Preferences,Party,PARTY_PREFERENCE,,No,Not Found,High,Contact channel preferences
Customer Contact Preferences,Party,PARTY_CONTACT_POINT,,No,Not Found,High,Contact channel preferences
Customer Contact Preferences,Party,ELECTRONIC_ADDRESS,"A nonphysical/virtual ADDRESS. Could be an email, FTP, or URL.  Examples: - clark@kryptonite.com - FTP.att.net/bob",Yes,Location/Geography,High,Contact channel preferences
Customer Contact Preferences,Party,POSTAL_ADDRESS,,No,Not Found,High,Contact channel preferences
Customer Marketing Preferences,Party,PARTY_PREFERENCE,,No,Not Found,Medium,Marketing opt-in/opt-out preferences
Customer Marketing Preferences,Party,PARTY_MARKETING_PREFERENCE,,No,Not Found,Medium,Marketing opt-in/opt-out preferences
Customer Marketing Preferences,Party,PARTY_CONSENT,,No,Not Found,Medium,Marketing opt-in/opt-out preferences
Customer Satisfaction Measurement (E.g. NPS),Party,PARTY_SURVEY_RESPONSE,This subtype entity identifies the party that is the subject of this survey question.,Yes,Party Management,Medium,NPS/CSAT via survey entities
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY,,No,Not Found,Medium,NPS/CSAT via survey entities
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_QUESTION_RESPONSE,"This entity associates a questionnaire question to a response to that question.  By capturing the date and time of the response (if known), the sequence of the survey responses may be reconstructed, a",Yes,Campaign/Marketing,Medium,NPS/CSAT via survey entities
Economic Forecast Data,Party,ECONOMIC_INDEX,,No,Not Found,Medium,External economic indicators - may need extension
Economic Forecast Data,Party,ECONOMIC_INDEX_VALUE,,No,Not Found,Medium,External economic indicators - may need extension
Economic Forecast Data,Party,MARKET_INDEX,"This entity tracks the value of a collection of stocks or other securities over time such as the U.S. Dow Jones 30 Industrial, the FTSE 500, and Tokyo Nikkei 300.  The index is usually published by a ",Yes,Investment Management,Medium,External economic indicators - may need extension
Legal Actions,Party,PARTY_LEGAL_ACTION,This entity contains the various parties to the legal action and their role.  Examples: - Your organization – filed the law suit - Your organization – recipient of law suit - Your insured –- the injur,Yes,Party Management,Medium,Legal proceedings involving parties
Legal Actions,Party,LEGAL_ACTION,"Activities that address the resolution of a dispute between the company and others, usually with the assistance or participation of a third party.  Examples include litigation, contractual resolutions",Yes,Other,Medium,Legal proceedings involving parties
Legal Actions,Party,PARTY_LITIGATION,,No,Not Found,Medium,Legal proceedings involving parties
External Prospect Data / Lists,Party,PARTY,"A party is any individual, organization or household that is of interest to the enterprise.",Yes,Party Management,Medium,External prospect/lead data
External Prospect Data / Lists,Party,PROSPECT,,No,Not Found,Medium,External prospect/lead data
External Prospect Data / Lists,Party,PARTY_LIST,,No,Not Found,Medium,External prospect/lead data
External Prospect Data / Lists,Party,PARTY_LIST_MEMBERSHIP,,No,Not Found,Medium,External prospect/lead data
External Data - Social Media Data,Party,SOCIAL_MEDIA_ACCOUNT,,No,Not Found,High,Social media interaction entities
External Data - Social Media Data,Party,SOCIAL_MEDIA_TRANSFER,This entity captures information regarding social media visitors transfer activities; transfers are either uploads or downloads.,Yes,Financial Transaction,High,Social media interaction entities
External Data - Social Media Data,Party,SOCIAL_MEDIA_POST,This entity captures information regarding the content of various types' outlets visitors post to.  Examples: - Blogs - Forums - News - Facebook - Twitter - Comments,Yes,Channel Management,High,Social media interaction entities
External Data - Bureau data,Party,PARTY_CREDIT_BUREAU_REPORT,,No,Not Found,High,Credit bureau reports and scores
External Data - Bureau data,Party,CREDIT_BUREAU_SCORE,,No,Not Found,High,Credit bureau reports and scores
External Data - Bureau data,Party,PARTY_EXTERNAL_RATING,,No,Not Found,High,Credit bureau reports and scores
External Data - Credit Rating,Party,PARTY_EXTERNAL_RATING,,No,Not Found,High,External credit ratings
External Data - Credit Rating,Party,PARTY_LIABILITY_CREDIT_RATING,This entity contains a history of credit reports for a specific party liability.,Yes,Party Management,High,External credit ratings
External Data - Credit Rating,Party,CREDIT_BUREAU_SCORE,,No,Not Found,High,External credit ratings
"External Economic Data (E.g. Property Prices, Salary)",Party,ECONOMIC_INDEX,,No,Not Found,Medium,Economic indicators and indices
"External Economic Data (E.g. Property Prices, Salary)",Party,ECONOMIC_INDEX_VALUE,,No,Not Found,Medium,Economic indicators and indices
"External Economic Data (E.g. Property Prices, Salary)",Party,MARKET_INDEX,"This entity tracks the value of a collection of stocks or other securities over time such as the U.S. Dow Jones 30 Industrial, the FTSE 500, and Tokyo Nikkei 300.  The index is usually published by a ",Yes,Investment Management,Medium,Economic indicators and indices
"External Economic Data (E.g. Property Prices, Salary)",Party,MARKET_INDEX_VALUE,The closing price for this index. The value of the index may be an average expressed relative to a predetermined market value. The algorithm for the computation of the index value differs from one ind,Yes,Investment Management,Medium,Economic indicators and indices
Master & Reference Data - staff / colleague,Party,INDIVIDUAL,This is a subtype entity to PARTY. This entity consists of those people that are of interest to the enterprise.,Yes,Party Management,High,Employee/staff reference data
Master & Reference Data - staff / colleague,Party,ASSOCIATE,"An individual who is, was, or will be employed by the enterprise. Dependent on the enterprise, this could constitute both employees and contractors.  The ASSOCIATE entity has been modeled as a subtype",Yes,Party Management,High,Employee/staff reference data
Master & Reference Data - staff / colleague,Party,ASSOCIATE_ASSIGNMENT,,No,Not Found,High,Employee/staff reference data
Master & Reference Data - staff / colleague,Party,INTERNAL_ORGANIZATION_UNIT,,No,Not Found,High,Employee/staff reference data
"Sales and Performance Forecasts, Targets & KPIs",Party,PERFORMANCE_METRIC,,No,Not Found,Low,"Performance management - limited FSDM coverage, needs extension"
"Sales and Performance Forecasts, Targets & KPIs",Party,PERFORMANCE_TARGET,,No,Not Found,Low,"Performance management - limited FSDM coverage, needs extension"
"Sales and Performance Forecasts, Targets & KPIs",Party,ORGANIZATION_PERFORMANCE,,No,Not Found,Low,"Performance management - limited FSDM coverage, needs extension"
HR Performance Data,Party,ASSOCIATE,"An individual who is, was, or will be employed by the enterprise. Dependent on the enterprise, this could constitute both employees and contractors.  The ASSOCIATE entity has been modeled as a subtype",Yes,Party Management,Medium,HR performance review data
HR Performance Data,Party,ASSOCIATE_PERFORMANCE_REVIEW,,No,Not Found,Medium,HR performance review data
HR Performance Data,Party,ASSOCIATE_ASSIGNMENT,,No,Not Found,Medium,HR performance review data
Customer Core Contact Details,Location,PARTY_CONTACT_POINT,,No,Not Found,High,Core contact information
Customer Core Contact Details,Location,ELECTRONIC_ADDRESS,"A nonphysical/virtual ADDRESS. Could be an email, FTP, or URL.  Examples: - clark@kryptonite.com - FTP.att.net/bob",Yes,Location/Geography,High,Core contact information
Customer Core Contact Details,Location,POSTAL_ADDRESS,,No,Not Found,High,Core contact information
Customer Core Contact Details,Location,TELEPHONE_NUMBER,"This is a telephone number that may be used for voice, data, fax, or text.",Yes,Party Management,High,Core contact information
Master & Reference Data - geography / location,Location,GEOGRAPHICAL_AREA,"This entity contains all geographical areas that are not addresses. A geographical area can be any kind of geopolitical area (e.g., country), geospatial area (e.g., unique marketing area unbounded by ",Yes,Other,High,Geography/location reference data
Master & Reference Data - geography / location,Location,GEOGRAPHICAL_UNIT,,No,Not Found,High,Geography/location reference data
Master & Reference Data - geography / location,Location,SITE,"This entity identifies a physical or virtual site that is of interest. SITEs can be owned or leased by the company to support manufacturing, sales, distribution, and storage, and can belong to custome",Yes,Other,High,Geography/location reference data
Master & Reference Data - geography / location,Location,POSTAL_ADDRESS,,No,Not Found,High,Geography/location reference data
Master & Reference Data - FTP rates,Product,INTEREST_RATE,,No,Not Found,High,Funds Transfer Pricing rate curves
Master & Reference Data - FTP rates,Product,INTEREST_RATE_INDEX,"This is a reference entity to contain the interest rates that are paid by and agreed upon by banks. Examples of reference rates are bank prime rate, six-month LIBOR, overnight rate, interbank offered ",Yes,Other,High,Funds Transfer Pricing rate curves
Master & Reference Data - FTP rates,Product,PRODUCT_INTEREST_RATE,,No,Not Found,High,Funds Transfer Pricing rate curves
Master & Reference Data - exchange rates,Product,CURRENCY,This entity identifies the name for the system of money.  Example: - U.S. dollars - Canadian dollars - Japanese yen,Yes,Reference Data,High,FX exchange rate data
Master & Reference Data - exchange rates,Product,CURRENCY_EXCHANGE_RATE,,No,Not Found,High,FX exchange rate data
Master & Reference Data - exchange rates,Product,CURRENCY_PAIR,,No,Not Found,High,FX exchange rate data
"Product Revenue, Cost & Margin",Product,PRODUCT,"This independent entity contains information about any marketable product, package, or service that you or your competitor offers that you are interested in tracking. This entity contains marketable p",Yes,Product Management,High,Product-level P&L components
"Product Revenue, Cost & Margin",Product,PRODUCT_PRICING,,No,Not Found,High,Product-level P&L components
"Product Revenue, Cost & Margin",Product,PRODUCT_COST,"This entity tracks the changes to the financial institution's product cost over time. Types of cost include cost of sale, startup costs, servicing costs, collection costs, and closing costs.",Yes,Product Management,High,Product-level P&L components
"Product Revenue, Cost & Margin",Product,AGREEMENT_SUMMARY,This entity contains summary account information at the end of a time period (the time period to be determined by each financial institution using this model). Even though the information is technical,Yes,Agreement/Account,High,Product-level P&L components
Product NPV's,Product,PRODUCT,"This independent entity contains information about any marketable product, package, or service that you or your competitor offers that you are interested in tracking. This entity contains marketable p",Yes,Product Management,Medium,Product net present values - may need extension
Product NPV's,Product,PRODUCT_VALUATION,,No,Not Found,Medium,Product net present values - may need extension
Product NPV's,Product,AGREEMENT_SUMMARY,This entity contains summary account information at the end of a time period (the time period to be determined by each financial institution using this model). Even though the information is technical,Yes,Agreement/Account,Medium,Product net present values - may need extension
External Data - market interest rates,Product,INTEREST_RATE_INDEX,"This is a reference entity to contain the interest rates that are paid by and agreed upon by banks. Examples of reference rates are bank prime rate, six-month LIBOR, overnight rate, interbank offered ",Yes,Other,High,KIBOR/market rate benchmarks
External Data - market interest rates,Product,INTEREST_RATE,,No,Not Found,High,KIBOR/market rate benchmarks
External Data - market interest rates,Product,MARKET_INDEX,"This entity tracks the value of a collection of stocks or other securities over time such as the U.S. Dow Jones 30 Industrial, the FTSE 500, and Tokyo Nikkei 300.  The index is usually published by a ",Yes,Investment Management,High,KIBOR/market rate benchmarks
External Data - market interest rates,Product,MARKET_INDEX_VALUE,The closing price for this index. The value of the index may be an average expressed relative to a predetermined market value. The algorithm for the computation of the index value differs from one ind,Yes,Investment Management,High,KIBOR/market rate benchmarks
"External Data - market prices (E.g. equities, bonds, commodities)",Product,MARKET_INDEX,"This entity tracks the value of a collection of stocks or other securities over time such as the U.S. Dow Jones 30 Industrial, the FTSE 500, and Tokyo Nikkei 300.  The index is usually published by a ",Yes,Investment Management,High,Market price data for traded instruments
"External Data - market prices (E.g. equities, bonds, commodities)",Product,MARKET_INDEX_VALUE,The closing price for this index. The value of the index may be an average expressed relative to a predetermined market value. The algorithm for the computation of the index value differs from one ind,Yes,Investment Management,High,Market price data for traded instruments
"External Data - market prices (E.g. equities, bonds, commodities)",Product,INVESTMENT_PRODUCT,"An INVESTMENT PRODUCT is a financial instrument including securities that are usually but not always listed on an exchange or other tradable network, and which can be traded for investment purposes. O",Yes,Product Management,High,Market price data for traded instruments
"External Data - market prices (E.g. equities, bonds, commodities)",Product,INVESTMENT_PRODUCT_PRICE,,No,Not Found,High,Market price data for traded instruments
External Data - Competitor Product & Pricing,Party & Product,PRODUCT,"This independent entity contains information about any marketable product, package, or service that you or your competitor offers that you are interested in tracking. This entity contains marketable p",Yes,Product Management,Low,Competitor data - needs custom extension to FSDM
External Data - Competitor Product & Pricing,Party & Product,MARKET_INDEX,"This entity tracks the value of a collection of stocks or other securities over time such as the U.S. Dow Jones 30 Industrial, the FTSE 500, and Tokyo Nikkei 300.  The index is usually published by a ",Yes,Investment Management,Low,Competitor data - needs custom extension to FSDM
Account / Policy / Service Holdings,Agreement,AGREEMENT,This entity contains information about arrangements between two or more parties where there are terms and conditions. It includes legally binding contracts and arrangements that are not legally bindin,Yes,Agreement/Account,High,Customer account/product holdings
Account / Policy / Service Holdings,Agreement,PARTY_AGREEMENT_ROLE,"This minor entity defines the various roles that parties have with the agreement such as primary obligor, secondary obligor, and cosigner.  Examples could be account holder, beneficiary, trustee, and ",Yes,Party Management,High,Customer account/product holdings
Account / Policy / Service Holdings,Agreement,AGREEMENT_PARTY_ROLE,,No,Not Found,High,Customer account/product holdings
Account / Policy / Service Holdings,Agreement,AGREEMENT_RELATIONSHIP,,No,Not Found,High,Customer account/product holdings
Account / Policy / Service Detail,Agreement,AGREEMENT,This entity contains information about arrangements between two or more parties where there are terms and conditions. It includes legally binding contracts and arrangements that are not legally bindin,Yes,Agreement/Account,High,Account detail by agreement subtype
Account / Policy / Service Detail,Agreement,LOAN_TERM_AGREEMENT,"This entity contains information about accounts that are loans (assets) and have a term associated with it such as mortgages. It includes home equity loans, mortgages, personal loans, standby letters ",Yes,Agreement/Account,High,Account detail by agreement subtype
Account / Policy / Service Detail,Agreement,DEPOSIT_AGREEMENT,"This entity contains only those customer agreements that are deposits (liabilities) from the financial institution's perspective. Liability agreements include deposits such as checking account, certif",Yes,Agreement/Account,High,Account detail by agreement subtype
Account / Policy / Service Detail,Agreement,INSURANCE_AGREEMENT,"This entity contains information about all insurance related contracts, such as insurance policies.  This is a subtype entity to AGREEMENT.",Yes,Agreement/Account,High,Account detail by agreement subtype
Account / Policy / Service Detail,Agreement,CREDIT_CARD_AGREEMENT,"CREDIT CARD AGREEMENT is a type of FINANCIAL AGREEMENT that provides a line of credit to card members through a credit card such as consumer, corporate, or small business card. This entity captures on",Yes,Agreement/Account,High,Account detail by agreement subtype
Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT,This entity contains information about arrangements between two or more parties where there are terms and conditions. It includes legally binding contracts and arrangements that are not legally bindin,Yes,Agreement/Account,High,Account lifecycle status tracking
Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT_STATUS,"This entity contains the history of the status of the agreement such as active, inactive, or pending closure. This structure provides for the agreement to be in more than one status classification sch",Yes,Agreement/Account,High,Account lifecycle status tracking
Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT_STATUS_HISTORY,,No,Not Found,High,Account lifecycle status tracking
Account Terms & Conditions,Agreement,AGREEMENT,This entity contains information about arrangements between two or more parties where there are terms and conditions. It includes legally binding contracts and arrangements that are not legally bindin,Yes,Agreement/Account,High,Contractual terms and conditions
Account Terms & Conditions,Agreement,AGREEMENT_CONDITION,,No,Not Found,High,Contractual terms and conditions
Account Terms & Conditions,Agreement,AGREEMENT_TERM,,No,Not Found,High,Contractual terms and conditions
Account Feature Usage,Agreement,AGREEMENT_FEATURE,"This entity associates the agreement with features that are specific to the agreement. Examples could be to defer interest charges until account closes, or mail interest to account holder. This would ",Yes,Agreement/Account,High,Product feature opt-in and usage
Account Feature Usage,Agreement,FEATURE,"This entity consists of those valid characteristics, terms and conditions that might apply to marketable products and/or terms offered by the financial institution. The 'feature' identifies constraint",Yes,Product Management,High,Product feature opt-in and usage
Account Feature Usage,Agreement,DESCRIPTIVE_FEATURE,"This is a subtype entity to FEATURE and contains those conditions that could be indicators or descriptors such as, ATM card included, interest compounded, simple interest, prepayment penalty applies, ",Yes,Product Management,High,Product feature opt-in and usage
"Application Data (New Customer, New Product)",Agreement,APPLICATION,"This entity identifies all applications for a financial institution product, for which a PARTY needs to qualify. Currently this applies to insurance accounts and loan type accounts including credit ca",Yes,Other,High,Loan/product applications
"Application Data (New Customer, New Product)",Agreement,APPLICATION_STATUS,The application status history entity tracks the application status changes over time.,Yes,Other,High,Loan/product applications
"Application Data (New Customer, New Product)",Agreement,APPLICATION_PARTY_ROLE,,No,Not Found,High,Loan/product applications
Coverage (insurance),Agreement,INSURANCE_COVERAGE,,No,Not Found,High,Insurance coverage details
Coverage (insurance),Agreement,INSURANCE_AGREEMENT,"This entity contains information about all insurance related contracts, such as insurance policies.  This is a subtype entity to AGREEMENT.",Yes,Agreement/Account,High,Insurance coverage details
Coverage (insurance),Agreement,COVERAGE_TYPE,,No,Not Found,High,Insurance coverage details
Account Balances,Agreement,AGREEMENT_SUMMARY,This entity contains summary account information at the end of a time period (the time period to be determined by each financial institution using this model). Even though the information is technical,Yes,Agreement/Account,High,Account balance snapshots and summaries
Account Balances,Agreement,BALANCE_SUMMARY,,No,Not Found,High,Account balance snapshots and summaries
Account Balances,Agreement,AGREEMENT_BALANCE,,No,Not Found,High,Account balance snapshots and summaries
Investment Value,Agreement,INVESTMENT_ACCOUNT,,No,Not Found,High,Investment portfolio valuations
Investment Value,Agreement,INVESTMENT_HOLDING,This entity keeps track of the number of units for the investment products (holdings) that are outside of a portfolio. These investments may include your institution's investments or your customer's i,Yes,Investment Management,High,Investment portfolio valuations
Investment Value,Agreement,INVESTMENT_PRODUCT_PRICE,,No,Not Found,High,Investment portfolio valuations
Market / Trading Book Positions,Agreement,TRADE_ORDER,"This entity tracks all events related to investment trade orders. This includes all events related to the order including creating the order, modifying the order, filling the order, and canceling the ",Yes,Investment Management,High,Trading book positions
Market / Trading Book Positions,Agreement,TRADE_EXECUTION,"This entity contains additional information about the execution of a trade where your firm is operationally involved as the buyer, the seller, or the agent to the trade. Settlements (the actual exchan",Yes,Investment Management,High,Trading book positions
Market / Trading Book Positions,Agreement,TRADING_POSITION,,No,Not Found,High,Trading book positions
Mark to market valuations,Agreement,INVESTMENT_PRODUCT_PRICE,,No,Not Found,Medium,Mark-to-market valuations
Mark to market valuations,Agreement,MARKET_INDEX_VALUE,The closing price for this index. The value of the index may be an average expressed relative to a predetermined market value. The algorithm for the computation of the index value differs from one ind,Yes,Investment Management,Medium,Mark-to-market valuations
Mark to market valuations,Agreement,AGREEMENT_VALUATION,,No,Not Found,Medium,Mark-to-market valuations
Cashflow Projections,Agreement,AGREEMENT_CASHFLOW,,No,Not Found,Medium,Projected cashflows - may need extension
Cashflow Projections,Agreement,CASHFLOW_SCHEDULE,,No,Not Found,Medium,Projected cashflows - may need extension
Cashflow Projections,Agreement,AGREEMENT_SUMMARY,This entity contains summary account information at the end of a time period (the time period to be determined by each financial institution using this model). Even though the information is technical,Yes,Agreement/Account,Medium,Projected cashflows - may need extension
Account Maturity Dates & Repricing Schedules,Agreement,AGREEMENT,This entity contains information about arrangements between two or more parties where there are terms and conditions. It includes legally binding contracts and arrangements that are not legally bindin,Yes,Agreement/Account,High,Maturity and repricing dates
Account Maturity Dates & Repricing Schedules,Agreement,AGREEMENT_TERM,,No,Not Found,High,Maturity and repricing dates
Account Maturity Dates & Repricing Schedules,Agreement,AGREEMENT_REPRICING_SCHEDULE,,No,Not Found,High,Maturity and repricing dates
Account Repayment Schedules,Agreement,AGREEMENT_REPAYMENT_SCHEDULE,,No,Not Found,High,Loan repayment schedules
Account Repayment Schedules,Agreement,LOAN_TERM_AGREEMENT,"This entity contains information about accounts that are loans (assets) and have a term associated with it such as mortgages. It includes home equity loans, mortgages, personal loans, standby letters ",Yes,Agreement/Account,High,Loan repayment schedules
Amortisation Schedules,Agreement,AGREEMENT_AMORTIZATION_SCHEDULE,,No,Not Found,Medium,Amortization schedules
Amortisation Schedules,Agreement,LOAN_TERM_AGREEMENT,"This entity contains information about accounts that are loans (assets) and have a term associated with it such as mortgages. It includes home equity loans, mortgages, personal loans, standby letters ",Yes,Agreement/Account,Medium,Amortization schedules
Customer Illustrations,Agreement,DOCUMENT,This entity contains physical or electronic documentation of interest to the financial institution or produced by the financial institution that is of interest. It represents information being exchang,Yes,Other,Low,Customer illustration documents - generic doc entities
Customer Illustrations,Agreement,PARTY_DOCUMENT,"This entity associates a party with the document. The party may be the originator or recipient of the document. The party may be the auditor, notary, agent, customer, and other financial institution.",Yes,Party Management,Low,Customer illustration documents - generic doc entities
Customer Quotes,Agreement,APPLICATION,"This entity identifies all applications for a financial institution product, for which a PARTY needs to qualify. Currently this applies to insurance accounts and loan type accounts including credit ca",Yes,Other,Low,Customer quotes - limited FSDM coverage
Customer Quotes,Agreement,QUOTE,,No,Not Found,Low,Customer quotes - limited FSDM coverage
Customer Quotes,Agreement,DOCUMENT,This entity contains physical or electronic documentation of interest to the financial institution or produced by the financial institution that is of interest. It represents information being exchang,Yes,Other,Low,Customer quotes - limited FSDM coverage
Collateral Agreements,Agreement,COLLATERAL_AGREEMENT,A contract between the customer and your bank or your customer and another party where the customer agrees to pledge collateral to another agreement. This collateral agreement may have a maximum amoun,Yes,Agreement/Account,High,Collateral and security agreements
Collateral Agreements,Agreement,COLLATERAL,,No,Not Found,High,Collateral and security agreements
Collateral Agreements,Agreement,COLLATERAL_VALUATION,,No,Not Found,High,Collateral and security agreements
Collateral Agreements,Agreement,PARTY_ASSET,"This entity identifies known items of interest to parties. These items include tangible and intangible (e.g., financial) items. There is one instance for each specific identifiable item.  Assets can i",Yes,Party Management,High,Collateral and security agreements
Risk Exposures,Agreement,AGREEMENT_RISK_METRIC,This entity contains various calculations and credit risk related metrics at the account/exposure level over time for the purposes of determining risk. Many of these attributes are required for Basel ,Yes,Agreement/Account,High,Credit/market/operational risk exposures
Risk Exposures,Agreement,RISK_EXPOSURE,,No,Not Found,High,Credit/market/operational risk exposures
Risk Exposures,Agreement,CREDIT_RISK_SUMMARY,This summary entity tracks credit risk metrics for the bank or one of its subsidiaries over time with respect to various dimensions such as exposure type and geographic area. Credit risk metrics are d,Yes,Agreement/Account,High,Credit/market/operational risk exposures
Risk Weighted Assets & Capital Results,Agreement,AGREEMENT_RISK_METRIC,This entity contains various calculations and credit risk related metrics at the account/exposure level over time for the purposes of determining risk. Many of these attributes are required for Basel ,Yes,Agreement/Account,High,Basel RWA and capital calculations
Risk Weighted Assets & Capital Results,Agreement,BANK_CAPITAL_SUMMARY,This summary entity tracks available capital metrics for the bank or one of its subsidiaries over time. Capital metrics are defined in line with the Basel II Accord and are intended to support Basel m,Yes,Risk Management,High,Basel RWA and capital calculations
Risk Weighted Assets & Capital Results,Agreement,CAPITAL_REQUIREMENTS_SUMMARY,This entity tracks the Basel II Capital Requirements related to various types of exposures and risks for a bank or subsidiary. It is intended to support Pillar 3 market disclosure requirements of Base,Yes,Risk Management,High,Basel RWA and capital calculations
Profitability Results,Agreement,AGREEMENT_SUMMARY,This entity contains summary account information at the end of a time period (the time period to be determined by each financial institution using this model). Even though the information is technical,Yes,Agreement/Account,High,Profitability metrics and results - core fact source
Profitability Results,Agreement,AGREEMENT_PROFITABILITY,,No,Not Found,High,Profitability metrics and results - core fact source
Profitability Results,Agreement,PRODUCT_PROFITABILITY,,No,Not Found,High,Profitability metrics and results - core fact source
Account Limits,Cross Subject  -  Limits,AGREEMENT_LIMIT,This entity tracks the changes to an agreement's limit over time. There is one instance for each agreement-limit change date combination.,Yes,Agreement/Account,High,Credit limits and facility limits
Account Limits,Cross Subject  -  Limits,LIMIT,,No,Not Found,High,Credit limits and facility limits
Account Limits,Cross Subject  -  Limits,PARTY_LIMIT,This entity contains information about limits at the party level such as credit limit. A credit limit at the party (customer) level may not be the sum of related account limits and is usually less tha,Yes,Party Management,High,Credit limits and facility limits
Predictive Models - propensity to buy,Party or Agreement,ANALYTICAL_MODEL,"Describes a process used to predict, cluster, or classify information. Typically, used in data mining and knowledge discovery.  Example: - Customer scoring and segmentation, and a model that describes",Yes,Other,High,Propensity model scores
Predictive Models - propensity to buy,Party or Agreement,MODEL_RUN,Describes an actual execution of an ANALYTICAL MODEL.,Yes,Other,High,Propensity model scores
Predictive Models - propensity to buy,Party or Agreement,MODEL_SCORE,,No,Not Found,High,Propensity model scores
Predictive Models - propensity to buy,Party or Agreement,PARTY_MODEL_SCORE,,No,Not Found,High,Propensity model scores
Predictive Models - attrition,Party or Agreement,ANALYTICAL_MODEL,"Describes a process used to predict, cluster, or classify information. Typically, used in data mining and knowledge discovery.  Example: - Customer scoring and segmentation, and a model that describes",Yes,Other,High,Attrition/churn model scores
Predictive Models - attrition,Party or Agreement,MODEL_RUN,Describes an actual execution of an ANALYTICAL MODEL.,Yes,Other,High,Attrition/churn model scores
Predictive Models - attrition,Party or Agreement,MODEL_SCORE,,No,Not Found,High,Attrition/churn model scores
Predictive Models - attrition,Party or Agreement,PARTY_MODEL_SCORE,,No,Not Found,High,Attrition/churn model scores
Predictive Models - price elasticity,Party or Agreement,ANALYTICAL_MODEL,"Describes a process used to predict, cluster, or classify information. Typically, used in data mining and knowledge discovery.  Example: - Customer scoring and segmentation, and a model that describes",Yes,Other,Medium,Price elasticity models
Predictive Models - price elasticity,Party or Agreement,MODEL_RUN,Describes an actual execution of an ANALYTICAL MODEL.,Yes,Other,Medium,Price elasticity models
Predictive Models - price elasticity,Party or Agreement,MODEL_SCORE,,No,Not Found,Medium,Price elasticity models
